start	end	width	strand	seqnames	label	type
545768	546052	285	+	NC_019866.2_14545090_15270527_26239357	IGHD5-4	CH
546133	546450	318	+	NC_019866.2_14545090_15270527_26239357	IGHD5-6	CH
546538	546825	288	+	NC_019866.2_14545090_15270527_26239357	IGHD5-7	CH
546961	547109	149	+	NC_019866.2_14545090_15270527_26239357	IGHD5-TM1	CH
547220	547745	526	+	NC_019866.2_14545090_15270527_26239357	IGHD5-TM2	CH
562813	563018	206	-	NC_019866.2_14545090_15270527_26239357	IGHD6-TM2	CH
563178	563326	149	-	NC_019866.2_14545090_15270527_26239357	IGHD6-TM1	CH
563462	563749	288	-	NC_019866.2_14545090_15270527_26239357	IGHD6-7	CH
563837	564154	318	-	NC_019866.2_14545090_15270527_26239357	IGHD6-6	CH
564797	565081	285	-	NC_019866.2_14545090_15270527_26239357	IGHD6-4	CH
565174	565508	335	-	NC_019866.2_14545090_15270527_26239357	IGHD6-3	CH
565587	565877	291	-	NC_019866.2_14545090_15270527_26239357	IGHD6-2	CH
565953	566273	321	-	NC_019866.2_14545090_15270527_26239357	IGHD6-1	CH
568101	568246	146	-	NC_019866.2_14545090_15270527_26239357	IGHM6-TM1	CH
568894	569385	492	-	NC_019866.2_14545090_15270527_26239357	IGHM6-4	CH
569506	569820	315	-	NC_019866.2_14545090_15270527_26239357	IGHM6-3	CH
569896	570246	351	-	NC_019866.2_14545090_15270527_26239357	IGHM6-2	CH
571224	571541	318	-	NC_019866.2_14545090_15270527_26239357	IGHD7-6	CH
571999	572313	315	-	NC_019866.2_14545090_15270527_26239357	IGHD7-3	CH
572394	572684	291	-	NC_019866.2_14545090_15270527_26239357	IGHD7-2	CH
572760	573080	321	-	NC_019866.2_14545090_15270527_26239357	IGHD7-1	CH
574107	574409	303	-	NC_019866.2_14545090_15270527_26239357	IGHM6-1	CH
