seqnames	start	end	width	strand	label	type
NORv12scf33878_1_112686_112686	17218	17366	149	-	IGHD1-TM1	CH
NORv12scf33878_1_112686_112686	17497	17784	288	-	IGHD1-7	CH
NORv12scf33878_1_112686_112686	17855	18172	318	-	IGHD1-6	CH
NORv12scf33878_1_112686_112686	18254	18583	330	-	IGHD1-5	CH
NORv12scf33878_1_112686_112686	18702	18980	279	-	IGHD1-4B	CH
NORv12scf33878_1_112686_112686	19064	19375	312	-	IGHD1-3B	CH
NORv12scf33878_1_112686_112686	19462	19758	297	-	IGHD1-2B	CH
NORv12scf33878_1_112686_112686	23785	24066	282	-	IGHD1-4A	CH
NORv12scf33878_1_112686_112686	24149	24460	312	-	IGHD1-3A	CH
NORv12scf33878_1_112686_112686	24572	24862	291	-	IGHD1-2A	CH
NORv12scf33878_1_112686_112686	24947	25255	309	-	IGHD1-1	CH
NORv12scf33878_1_112686_112686	26001	26389	389	-	IGHM1-TM2	CH
NORv12scf33878_1_112686_112686	28267	28418	152	-	IGHM1-TM1	CH
NORv12scf33878_1_112686_112686	29726	30008	283	-	IGHM1-3	CH
NORv12scf33878_1_112686_112686	30090	30431	342	-	IGHM1-2	CH
NORv12scf33878_1_112686_112686	31754	32050	297	-	IGHM1-1	CH
NORv12scf33917_1_125701_125701	1	125	125	+	IGHD5-3B	CH
NORv12scf33917_1_125701_125701	211	489	279	+	IGHD5-4B	CH
NORv12scf33917_1_125701_125701	608	937	330	+	IGHD5-5	CH
NORv12scf33917_1_125701_125701	1019	1336	318	+	IGHD5-6	CH
NORv12scf33917_1_125701_125701	1407	1694	288	+	IGHD5-7	CH
NORv12scf33917_1_125701_125701	1825	1973	149	+	IGHD5-TM1	CH
NORv12scf33917_1_125701_125701	2133	2312	180	+	IGHD5-TM2	CH
NORv12scf33917_1_125701_125701	41734	41912	179	-	IGHD4-TM2	CH
NORv12scf33917_1_125701_125701	42071	42219	149	-	IGHD4-TM1	CH
NORv12scf33917_1_125701_125701	42350	42637	288	-	IGHD4-7	CH
NORv12scf33917_1_125701_125701	42708	43025	318	-	IGHD4-6	CH
NORv12scf33917_1_125701_125701	43107	43436	330	-	IGHD4-5	CH
NORv12scf33917_1_125701_125701	43555	43833	279	-	IGHD4-4B	CH
NORv12scf33917_1_125701_125701	43919	44230	312	-	IGHD4-3B	CH
NORv12scf33917_1_125701_125701	44322	44618	297	-	IGHD4-2B	CH
NORv12scf33917_1_125701_125701	48662	48943	282	-	IGHD4-4A	CH
NORv12scf33917_1_125701_125701	49026	49337	312	-	IGHD4-3A	CH
NORv12scf33917_1_125701_125701	49451	49741	291	-	IGHD4-2A	CH
NORv12scf33917_1_125701_125701	49826	50134	309	-	IGHD4-1	CH
NORv12scf33917_1_125701_125701	53162	53344	183	-	IGHD3-TM2	CH
NORv12scf33917_1_125701_125701	53473	53621	149	-	IGHD3-TM1	CH
NORv12scf33917_1_125701_125701	53752	54039	288	-	IGHD3-7	CH
NORv12scf33917_1_125701_125701	54110	54427	318	-	IGHD3-6	CH
NORv12scf33917_1_125701_125701	54509	54838	330	-	IGHD3-5	CH
NORv12scf33917_1_125701_125701	54957	55235	279	-	IGHD3-4B	CH
NORv12scf33917_1_125701_125701	55322	55633	312	-	IGHD3-3B	CH
NORv12scf33917_1_125701_125701	55726	56022	297	-	IGHD3-2B	CH
NORv12scf33917_1_125701_125701	60288	60569	282	-	IGHD3-4A	CH
NORv12scf33917_1_125701_125701	60652	60963	312	-	IGHD3-3A	CH
NORv12scf33917_1_125701_125701	61075	61365	291	-	IGHD3-2A	CH
NORv12scf33917_1_125701_125701	61450	61758	309	-	IGHD3-1	CH
NORv12scf33917_1_125701_125701	64050	64228	179	-	IGHD2-TM2	CH
NORv12scf33917_1_125701_125701	64387	64535	149	-	IGHD2-TM1	CH
NORv12scf33917_1_125701_125701	64666	64953	288	-	IGHD2-7	CH
NORv12scf33917_1_125701_125701	65024	65341	318	-	IGHD2-6	CH
NORv12scf33917_1_125701_125701	65423	65752	330	-	IGHD2-5	CH
NORv12scf33917_1_125701_125701	65871	66149	279	-	IGHD2-4B	CH
NORv12scf33917_1_125701_125701	66236	66547	312	-	IGHD2-3B	CH
NORv12scf33917_1_125701_125701	66639	66935	297	-	IGHD2-2B	CH
NORv12scf34438_317285_528056_779375	102628	102924	297	+	IGHM2-1	CH
NORv12scf34438_317285_528056_779375	104186	104527	342	+	IGHM2-2	CH
NORv12scf34438_317285_528056_779375	104609	104920	312	+	IGHM2-3	CH
NORv12scf34438_317285_528056_779375	105031	105504	474	+	IGHM2-4	CH
NORv12scf34438_317285_528056_779375	106443	106594	152	+	IGHM2-TM1	CH
NORv12scf34438_317285_528056_779375	108351	108739	389	+	IGHM2-TM2	CH
NORv12scf34438_317285_528056_779375	109300	109608	309	+	IGHD2-1	CH
NORv12scf34438_317285_528056_779375	109693	109983	291	+	IGHD2-2A	CH
NORv12scf34438_317285_528056_779375	110097	110408	312	+	IGHD2-3A	CH
NORv12scf34438_317285_528056_779375	110491	110772	282	+	IGHD2-4A	CH
NORv12scf9255_1_1439_1439	1024	1305	282	-	IGHD5-4A	CH
NORv12scf9255_1_1439_1439	1388	1439	52	-	IGHD5-3A	CH
