start	end	width	strand	seqnames	label	type
204396	204693	298	+	igh_xma_new	IGHV15-01	VH
206203	206503	301	+	igh_xma_new	IGHV13-02	VH
207726	208020	295	+	igh_xma_new	IGHV16-01	VH
208477	208777	301	+	igh_xma_new	IGHV13-03	VH
209921	210215	295	+	igh_xma_new	IGHV03-33	VH
211322	211625	304	+	igh_xma_new	IGHV17-01	VH
214600	214860	261	+	igh_xma_new	IGHV15-02p	VH
215671	215962	292	+	igh_xma_new	IGHV18-01	VH
217874	218174	301	+	igh_xma_new	IGHV19-01	VH
219368	219668	301	+	igh_xma_new	IGHV03-34	VH
220329	220632	304	+	igh_xma_new	IGHV20-01	VH
228547	228838	292	+	igh_xma_new	IGHV02-54p	VH
229963	230267	305	+	igh_xma_new	IGHV02-55	VH
231630	231928	299	+	igh_xma_new	IGHV03-35	VH
233069	233230	162	+	igh_xma_new	IGHV21-01p	VH
234954	235102	149	+	igh_xma_new	IGHV22-01p	VH
236029	236330	302	+	igh_xma_new	IGHV02-56	VH
238122	238413	292	+	igh_xma_new	IGHV03-36p	VH
240281	240579	299	+	igh_xma_new	IGHV11-02p	VH
241878	242166	289	+	igh_xma_new	IGHV09-02	VH
243867	244164	298	+	igh_xma_new	IGHV23-01	VH
245524	245813	290	+	igh_xma_new	IGHV02-57	VH
